entity_id,name,category_raw,address_clean,postcode_digits,county,city_market,lat,lon,website,phones,emails,maps_url,open_status_norm,working_hours,facebook,instagram,whatsapp,youtube,tiktok,linkedin,twitter
LDI1-RO-DE-1VH1-CR98-49,Cabinet Ortodontie Dr. Awwad - Aparate Dentare Cluj,Ortodontist,"Str. Meteor 15-17, Cluj-Napoca",400347,Cluj,Cluj-Napoca,46.754158,23.593597,https://www.cabinetorto.ro/,+40745558964,,https://www.google.com/maps/place/Cabinet+Ortodontie+Dr.+Awwad+-+Aparate+Dentare+Cluj/data=!4m7!3m6!1s0x47490e644609d55f:0xa7c0ec5e5274ebf5!8m2!3d46.754158!4d23.593597!16s%2Fg%2F11cjj8zx8r!19sChIJX9UJRmQOSUcR9et0Ul7swKc?authuser=0&hl=ro&rclk=1,open,miercuri: 09–20; joi: 09–20; vineri: 09–20; sâmbătă: Închis; duminică: Închis; luni: 09–20; marți: 09–20,https://www.facebook.com/cabinetorto,,,https://www.youtube.com/user/awwadsortho,,,
LDI1-RO-DE-1X2V-R9C2-18,BeneDent,Clinică de stomatologie,"Calea Mănăștur 85, Cluj-Napoca",400394,Cluj,Cluj-Napoca,46.760981,23.566028,https://clinicabenedent.ro/,+40753707885,,https://www.google.com/maps/place/BeneDent/data=!4m7!3m6!1s0x47490fce52690c45:0xf1cd259519ff619e!8m2!3d46.760981!4d23.566028!16s%2Fg%2F11rn7ymk4c!19sChIJRQxpUs4PSUcRnmH_GZUlzfE?authuser=0&hl=ro&rclk=1,open,miercuri: 08–20; joi: 08–20; vineri: 08–20; sâmbătă: Închis; duminică: Închis; luni: 08–20; marți: 08–20,https://www.facebook.com/ClinicaBenedent,,,,,,
LDI1-RO-DE-1KRX-QA8Z-55,Clinica Stomatologica Cluj Napoca - Deos Dental,Clinică de stomatologie,"Strada Henri Barbusse 59-61, Cluj-Napoca",400394,Cluj,Cluj-Napoca,46.7837029,23.609059,https://deosdental.ro/,+40784011429,programari@deosdental.ro,https://www.google.com/maps/place/Clinica+Stomatologica+Cluj+Napoca+-+Deos+Dental/data=!4m7!3m6!1s0x47490d5adabf345b:0x2e7688e5eaca5de2!8m2!3d46.7837029!4d23.609059!16s%2Fg%2F11xd0qgngt!19sChIJWzS_2loNSUcR4l3K6uWIdi4?authuser=0&hl=ro&rclk=1,open,miercuri: 08–21; joi: 08–21; vineri: 08–21; sâmbătă: Închis; duminică: Închis; luni: 08–21; marți: 08–21,,https://www.instagram.com/deos.dental,,https://www.youtube.com/channel/UCk-Vs6-NsneDCJBRglTGSWA,https://www.tiktok.com/@deosdental,https://www.linkedin.com/company/deos-dental,
LDI1-RO-DE-JVX0-YV1G-54,Dentis Smile Cliniq,Clinică de stomatologie,"Strada Moldovei 2A, Cluj-Napoca",400380,Cluj,Cluj-Napoca,46.7646987,23.5737924,https://dentis.shopia.ro/contact,+40264452219,contact@dentissmile.ro,https://www.google.com/maps/place/Dentis+Smile+Cliniq/data=!4m7!3m6!1s0x47490fe5b2de41e9:0xc468778e1f6b208!8m2!3d46.7646987!4d23.5737924!16s%2Fg%2F11rq4r_csh!19sChIJ6UHesuUPSUcRCLL24XiHRgw?authuser=0&hl=ro&rclk=1,open,miercuri: 10–20; joi: 10–20; vineri: 10–16; sâmbătă: Închis; duminică: Închis; luni: 10–20; marți: 10–20,https://www.facebook.com/dentissmilecliniq,https://instagram.com/dentissmilecliniq,https://wa.me/+40723268263,,,,
LDI1-RO-DE-Z1MZ-8R7E-81,Einstein Dental Clinic,Clinică de stomatologie,"Strada Albert Einstein 16-18, Cluj-Napoca",400045,Cluj,Cluj-Napoca,46.7767164,23.5882621,,+40722934636,,"https://www.google.com/maps/place/Einstein+Dental+Clinic/@46.7767164,23.5882621,17z/data=!3m1!4b1!4m6!3m5!1s0x47490f7c18aff4db:0x38b4022a0bbf4b16!8m2!3d46.7767164!4d23.5882621!16s%2Fg%2F11xp1hmss6?hl=ro&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",open,miercuri: 08–20; joi: 08–20; vineri: 08–20; sâmbătă: 08–12; duminică: Închis; luni: 08–20; marți: 08–20,,,,,,,
LDI1-RO-DE-9BMP-KV34-38,Smile Dental Clinic,Clinică de stomatologie,"Strada Louis Pasteur 74, Cluj-Napoca",400335,Cluj,Cluj-Napoca,46.755198,23.5758297,https://www.smiledentalclinic.ro/,+40746466461,,https://www.google.com/maps/place/Smile+Dental+Clinic/data=!4m7!3m6!1s0x47490e78c73db61f:0x372e7afc18525600!8m2!3d46.755198!4d23.5758297!16s%2Fg%2F11cfcx7rv!19sChIJH7Y9x3gOSUcRAFZSGPx6Ljc?authuser=0&hl=ro&rclk=1,open,miercuri: 09–19; joi: 09–19; vineri: 09–19; sâmbătă: Închis; duminică: Închis; luni: 09–19; marți: 09–19,,,,,,,
LDI1-RO-DE-H961-B2XV-35,DENTSMILE ANCA,Clinică de stomatologie,"Strada Victor Babeș 31, Cluj-Napoca",400394,Cluj,Cluj-Napoca,46.7644424,23.5851359,https://dentsmile.ro/,+40264597677,contact@dentsmile.ro,"https://www.google.com/maps/place/DENTSMILE+ANCA/@46.7644424,23.5851359,17z/data=!3m1!4b1!4m6!3m5!1s0x47490fd3a881a363:0x693464514d0fb418!8m2!3d46.7644424!4d23.5851359!16s%2Fg%2F11szbyxtbd?hl=ro&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",open,miercuri: 09–20; joi: 09–20; vineri: 09–20; sâmbătă: Închis; duminică: Închis; luni: 09–20; marți: 09–20,,,,,,,
LDI1-RO-DE-1ZAN-19FZ-38,Family Dental Care Clinic,Clinică de stomatologie,"Strada Constantin Brâncuși 176, Cluj-Napoca",400462,Cluj,Cluj-Napoca,46.7592031,23.6156258,https://familydentalcareclinic.ro/,+40770832313,familydentalcareclinics@gmail.com,https://www.google.com/maps/place/Family+Dental+Care+Clinic/data=!4m7!3m6!1s0x47490d59eb458a19:0x7600b2e4049a5e68!8m2!3d46.7592031!4d23.6156258!16s%2Fg%2F11fvhv7fqw!19sChIJGYpF61kNSUcRaF6aBOSyAHY?authuser=0&hl=ro&rclk=1,open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: Închis; duminică: Închis; luni: 09–21; marți: 09–21,https://web.facebook.com/familydentalcareclinics,https://www.instagram.com/family_dentalcareclinics,,https://www.youtube.com/@familydentalcareclinic4356,https://www.tiktok.com/@familydentalcareclinic,,
LDI1-RO-DE-1TEM-2GF6-89,ZâmbetFericit,Clinică de stomatologie,"Strada Măcinului 11A, Cluj-Napoca",400347,Cluj,Cluj-Napoca,46.7593573,23.6085925,https://www.zambetfericit.ro/contact,+40741020804,contact@zambetfericit.ro,https://www.google.com/maps/place/Z%C3%A2mbetFericit/data=!4m7!3m6!1s0x47490c3ab235f557:0xc48b7cf27c7eb87!8m2!3d46.7593573!4d23.6085925!16s%2Fg%2F11bbrjtmf1!19sChIJV_U1sjoMSUcRh-vHJ8-3SAw?authuser=0&hl=ro&rclk=1,open,miercuri: 08–20; joi: 08–20; vineri: 08–20; sâmbătă: Închis; duminică: Închis; luni: 08–20; marți: 08–20,,,,,,,
LDI1-RO-DE-JTYZ-M6GP-88,AnaDent Kids - Clinică dentară pentru copii,Clinică de stomatologie,"Piața Mihai Viteazu 9, Cluj-Napoca",400394,Cluj,Cluj-Napoca,46.7751978,23.589917,https://ana-dent.ro/,+40755144097,contact@ana-dent.ro,https://www.google.com/maps/place/AnaDent+Kids+-+Clinic%C4%83+dentar%C4%83+pentru+copii/data=!4m7!3m6!1s0x47490f7f1e8ea40f:0xd76d21b9997fa162!8m2!3d46.7751978!4d23.589917!16s%2Fg%2F1hc1l7nkg!19sChIJD6SOHn8PSUcRYqF_mbkhbdc?authuser=0&hl=ro&rclk=1,open,miercuri: 12–20; joi: 12–20; vineri: 12–20; sâmbătă: Închis; duminică: Închis; luni: 12–20; marți: 12–20,https://www.facebook.com/CabinetANAdent,https://www.instagram.com/clinica_anadent,,,,,
